#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
0.0053746402,-0.00075912476,A,X,0.1
0.0077365339,0.00036430359,A,X,0.1
0.00046500564,-0.00045394897,A,X,0.1
0.0048562586,0.00020599365,A,X,0.1
-0.012309939,-0.00069999695,A,X,0.1
0.0011747777,-0.0011768341,A,X,0.1
-0.0094541609,-0.0010814667,A,X,0.1
0.012674123,-3.81E-06,A,X,0.1
0.001373142,-0.0010375977,A,X,0.1
0.010933131,-0.0005531311,A,X,0.1
-0.0024274886,-0.00071334839,A,X,0.1
0.0016150177,-0.0017261505,A,X,0.1
-0.0051531494,-0.00026512146,A,X,0.1
0.0066234171,-0.00024986267,A,X,0.1
-0.0021850169,-0.00038909912,A,X,0.1
0.003356725,0.00018310547,A,X,0.1
-0.002828151,7.63E-05,A,X,0.1
0.0027841628,0.00027084351,A,X,0.1
-0.0025341809,-0.00022697449,A,X,0.1
0.0021942556,2.67E-05,A,X,0.1
-0.0084907115,-0.0010528564,A,X,0.1
0.0051033199,-0.0001449585,A,X,0.1
-0.0066834986,0.00037384033,A,X,0.1
-0.0015077889,-0.00032615662,A,X,0.1
-0.0049962103,-0.00054931641,A,X,0.1
0.0082721412,-0.00046920776,A,X,0.1
-0.0064019859,-0.0011405945,A,X,0.1
0.018090218,-0.0013122559,A,X,0.1
-0.0038764775,-0.0011520386,A,X,0.1
0.010466903,0.00099945068,A,X,0.1
-0.0043568313,-0.0011043549,A,X,0.1
0.0051638782,-0.00066566467,A,X,0.1
-0.0059491694,-0.00037574768,A,X,0.1
0.010993928,-0.0011844635,A,X,0.1
-0.0038140714,-0.00016784668,A,X,0.1
0.0013633668,-0.0011920929,A,X,0.1
-0.0048796833,0.0003528595,A,X,0.1
0.0083974898,-0.0010871887,A,X,0.1
0.0036968291,-0.00070381165,A,X,0.1
0.019180566,-0.0014019012,A,X,0.1
-0.010835379,-9.16E-05,A,X,0.1
0.00024810433,-0.00053024292,A,X,0.1
-0.012709349,-0.00075531006,A,X,0.1
0.00022479892,0.00016784668,A,X,0.1
-0.011791378,-0.00030136108,A,X,0.1
0.0068752468,-0.00018119812,A,X,0.1
-0.001052171,-0.00058555603,A,X,0.1
0.006639868,-0.00076675415,A,X,0.1
-0.0063219965,-0.00060081482,A,X,0.1
0.012224883,-0.001701355,A,X,0.1
-0.0031580031,-0.00022506714,A,X,0.1
0.014485806,1.72E-05,A,X,0.1
-0.0034684837,-0.00040817261,A,X,0.1
0.0072639287,0.00068855286,A,X,0.1
-0.0068540275,0.00082206726,A,X,0.1
0.0025902689,0.00027275085,A,X,0.1
-0.0073880255,9.54E-05,A,X,0.1
0.012071997,-0.00037765503,A,X,0.1
-0.012773603,-0.00092315674,A,X,0.1
0.011330277,-0.00087738037,A,X,0.1
-0.0010602176,-0.00019073486,A,X,0.1
0.004627794,-0.00053596497,A,X,0.1
-0.016704172,-0.0010929108,A,X,0.1
0.010411531,0.00041389465,A,X,0.1
-0.0062707961,-0.00061988831,A,X,0.1
0.0051849782,-0.0014266968,A,X,0.1
-0.018680245,-0.00066184998,A,X,0.1
0.0039354265,-0.00023078918,A,X,0.1
-0.0047521293,-0.0014247894,A,X,0.1
0.0094353855,0.0004119873,A,X,0.1
-0.0036394298,-0.00072669983,A,X,0.1
