Force,Displacement,Design,Direction,Displacement Rate
0.00624761,-0.19023514,A,X,0.1
-0.00310567,-0.19607353,A,X,0.1
0.001995057,-0.20180893,A,X,0.1
0.003900081,-0.20620346,A,X,0.1
0.007718831,-0.21157455,A,X,0.1
-0.006994635,-0.21655655,A,X,0.1
-0.003004938,-0.22079086,A,X,0.1
-0.002880961,-0.22600365,A,X,0.1
0.00586918,-0.23103142,A,X,0.1
-0.004895717,-0.23534393,A,X,0.1
0.002607912,-0.24114799,A,X,0.1
-0.006018549,-0.24503517,A,X,0.1
0.006920427,-0.2508316,A,X,0.1
-0.005631894,-0.25629044,A,X,0.1
0.009761483,-0.26033592,A,X,0.1
-0.012835413,-0.2675209,A,X,0.1
0.011412293,-0.27203751,A,X,0.1
-0.004799992,-0.27603149,A,X,0.1
0.012291878,-0.28208351,A,X,0.1
-0.003441006,-0.2859211,A,X,0.1
0.015798956,-0.29128265,A,X,0.1
0.000964612,-0.29718781,A,X,0.1
0.008961767,-0.30116653,A,X,0.1
-0.002935797,-0.30614471,A,X,0.1
0.01244244,-0.31085396,A,X,0.1
-0.010890156,-0.31681824,A,X,0.1
0.012693793,-0.32226944,A,X,0.1
-0.008637518,-0.32658958,A,X,0.1
0.009689778,-0.33220482,A,X,0.1
-0.005579025,-0.33656693,A,X,0.1
0.010721296,-0.34262466,A,X,0.1
-0.007663995,-0.3470211,A,X,0.1
0.009665519,-0.35313606,A,X,0.1
-0.00830242,-0.35699272,A,X,0.1
0.012161106,-0.3611908,A,X,0.1
-0.005611688,-0.36838531,A,X,0.1
0.006023198,-0.37196541,A,X,0.1
-0.007108778,-0.3774395,A,X,0.1
0.005507559,-0.38180733,A,X,0.1
2.83E-05,-0.38681793,A,X,0.1
0.003653854,-0.39236832,A,X,0.1
-0.007627934,-0.39714813,A,X,0.1
-0.000792295,-0.4029541,A,X,0.1
-0.007772416,-0.40757561,A,X,0.1
0.010564953,-0.41254807,A,X,0.1
-0.009153813,-0.41731453,A,X,0.1
0.00149712,-0.42186356,A,X,0.1
-0.006683201,-0.42824554,A,X,0.1
0.010880023,-0.43220139,A,X,0.1
-0.003042549,-0.43715668,A,X,0.1
0.005323917,-0.44272232,A,X,0.1
-0.001640707,-0.44891548,A,X,0.1
0.005283147,-0.45248032,A,X,0.1
-0.007687241,-0.45788574,A,X,0.1
0.006178707,-0.46302414,A,X,0.1
-0.00898847,-0.46854782,A,X,0.1
-0.001161546,-0.47276306,A,X,0.1
-0.007722348,-0.47846603,A,X,0.1
0.006387502,-0.4830761,A,X,0.1
-0.008244962,-0.48844147,A,X,0.1
0.007862121,-0.49474716,A,X,0.1
-0.011446506,-0.49888039,A,X,0.1
0.00804016,-0.5032444,A,X,0.1
-0.012138993,-0.50744438,A,X,0.1
0.013217717,-0.51443863,A,X,0.1
-0.010134727,-0.51753235,A,X,0.1
0.006417245,-0.52392578,A,X,0.1
-0.002420872,-0.52804947,A,X,0.1
0.002689213,-0.53330994,A,X,0.1
-0.007006556,-0.5383606,A,X,0.1
0.010185033,-0.54390907,A,X,0.1
-0.006312639,-0.54761124,A,X,0.1
0.002886444,-0.55318832,A,X,0.1
-0.010349482,-0.56014633,A,X,0.1
0.002989501,-0.56375122,A,X,0.1
-0.007726759,-0.56861115,A,X,0.1
0.006097108,-0.57290649,A,X,0.1
-0.004510552,-0.57889175,A,X,0.1
0.006249458,-0.58426666,A,X,0.1
-0.004175335,-0.58920288,A,X,0.1
0.001207858,-0.59434891,A,X,0.1
-0.003387779,-0.59903336,A,X,0.1
0.009013206,-0.60308456,A,X,0.1
-0.004211456,-0.60936737,A,X,0.1
0.008648545,-0.61197281,A,X,0.1
0.00105533,-0.61959267,A,X,0.1
